"top_10_film","category","score"
"Song of the Sea (2014)","rotten_tomatoes",99
"Song of the Sea (2014)","rotten_tomatoes_user",92
"Song of the Sea (2014)","rotten_tomatoes_avg",95.5
"Wild Tales (2014)","rotten_tomatoes",96
"Wild Tales (2014)","rotten_tomatoes_user",92
"Wild Tales (2014)","rotten_tomatoes_avg",94
"Amy (2015)","rotten_tomatoes",97
"Amy (2015)","rotten_tomatoes_user",91
"Amy (2015)","rotten_tomatoes_avg",94
"Inside Out (2015)","rotten_tomatoes",98
"Inside Out (2015)","rotten_tomatoes_user",90
"Inside Out (2015)","rotten_tomatoes_avg",94
"Seymour: An Introduction (2015)","rotten_tomatoes",100
"Seymour: An Introduction (2015)","rotten_tomatoes_user",87
"Seymour: An Introduction (2015)","rotten_tomatoes_avg",93.5
"The Salt of the Earth (2015)","rotten_tomatoes",96
"The Salt of the Earth (2015)","rotten_tomatoes_user",90
"The Salt of the Earth (2015)","rotten_tomatoes_avg",93
"Selma (2014)","rotten_tomatoes",99
"Selma (2014)","rotten_tomatoes_user",86
"Selma (2014)","rotten_tomatoes_avg",92.5
"Mad Max: Fury Road (2015)","rotten_tomatoes",97
"Mad Max: Fury Road (2015)","rotten_tomatoes_user",88
"Mad Max: Fury Road (2015)","rotten_tomatoes_avg",92.5
"Straight Outta Compton (2015)","rotten_tomatoes",90
"Straight Outta Compton (2015)","rotten_tomatoes_user",94
"Straight Outta Compton (2015)","rotten_tomatoes_avg",92
"About Elly (2015)","rotten_tomatoes",97
"About Elly (2015)","rotten_tomatoes_user",86
"About Elly (2015)","rotten_tomatoes_avg",91.5
